file,true_label,pred_label,prob_cat,prob_dog
data/processed/test/cat/10001.jpg,cat,cat,0.9915,0.0085
data/processed/test/cat/10004.jpg,cat,cat,0.9999,0.0001
data/processed/test/cat/10012.jpg,cat,cat,0.9996,0.0004
data/processed/test/cat/10020.jpg,cat,cat,0.9998,0.0002
data/processed/test/cat/10028.jpg,cat,cat,0.9999,0.0001
data/processed/test/cat/10034.jpg,cat,cat,1.0,0.0
data/processed/test/cat/10035.jpg,cat,cat,0.9806,0.0194
data/processed/test/cat/10044.jpg,cat,cat,0.9384,0.0616
data/processed/test/cat/10049.jpg,cat,cat,0.9986,0.0014
data/processed/test/cat/10078.jpg,cat,cat,0.986,0.014
data/processed/test/cat/10083.jpg,cat,cat,0.9998,0.0002
data/processed/test/cat/10092.jpg,cat,cat,0.9742,0.0258
data/processed/test/cat/10101.jpg,cat,cat,0.982,0.018
data/processed/test/cat/10111.jpg,cat,cat,0.998,0.002
data/processed/test/cat/10133.jpg,cat,cat,0.9983,0.0017
data/processed/test/cat/10139.jpg,cat,cat,0.9171,0.0829
data/processed/test/cat/10146.jpg,cat,cat,0.9936,0.0064
data/processed/test/cat/10166.jpg,cat,dog,0.0955,0.9045
data/processed/test/cat/10177.jpg,cat,cat,0.8235,0.1765
data/processed/test/cat/10183.jpg,cat,cat,0.9052,0.0948
data/processed/test/cat/10199.jpg,cat,cat,1.0,0.0
data/processed/test/cat/10204.jpg,cat,cat,0.9751,0.0249
data/processed/test/cat/10213.jpg,cat,dog,0.2016,0.7984
data/processed/test/cat/10222.jpg,cat,cat,0.8402,0.1598
data/processed/test/cat/10250.jpg,cat,cat,0.9799,0.0201
data/processed/test/cat/10282.jpg,cat,cat,0.7284,0.2716
data/processed/test/cat/10284.jpg,cat,cat,1.0,0.0
data/processed/test/cat/10285.jpg,cat,cat,0.9822,0.0178
data/processed/test/cat/10297.jpg,cat,cat,0.9972,0.0028
data/processed/test/cat/10301.jpg,cat,dog,0.0268,0.9732
data/processed/test/cat/10306.jpg,cat,cat,0.6115,0.3885
data/processed/test/cat/10345.jpg,cat,cat,0.9541,0.0459
data/processed/test/cat/10357.jpg,cat,cat,0.9996,0.0004
data/processed/test/cat/10362.jpg,cat,cat,0.8447,0.1553
data/processed/test/cat/10365.jpg,cat,cat,0.8081,0.1919
data/processed/test/cat/10375.jpg,cat,cat,1.0,0.0
data/processed/test/cat/10378.jpg,cat,cat,0.9995,0.0005
data/processed/test/cat/10388.jpg,cat,cat,0.9521,0.0479
data/processed/test/cat/10394.jpg,cat,cat,0.9584,0.0416
data/processed/test/cat/10397.jpg,cat,cat,0.7746,0.2254
data/processed/test/cat/10403.jpg,cat,cat,0.8304,0.1696
data/processed/test/cat/1042.jpg,cat,cat,0.9322,0.0678
data/processed/test/cat/10421.jpg,cat,cat,0.9407,0.0593
data/processed/test/cat/10423.jpg,cat,cat,0.9923,0.0077
data/processed/test/cat/10424.jpg,cat,cat,0.9978,0.0022
data/processed/test/cat/10436.jpg,cat,cat,0.8305,0.1695
data/processed/test/cat/10454.jpg,cat,cat,0.8826,0.1174
data/processed/test/cat/1046.jpg,cat,cat,0.9783,0.0217
data/processed/test/cat/10465.jpg,cat,cat,0.9377,0.0623
data/processed/test/cat/1047.jpg,cat,cat,0.9995,0.0005
data/processed/test/dog/10001.jpg,dog,dog,0.0722,0.9278
data/processed/test/dog/10004.jpg,dog,dog,0.0016,0.9984
data/processed/test/dog/10012.jpg,dog,dog,0.1708,0.8292
data/processed/test/dog/10020.jpg,dog,dog,0.2532,0.7468
data/processed/test/dog/10028.jpg,dog,dog,0.0033,0.9967
data/processed/test/dog/10034.jpg,dog,dog,0.3416,0.6584
data/processed/test/dog/10035.jpg,dog,dog,0.0146,0.9854
data/processed/test/dog/10044.jpg,dog,dog,0.4473,0.5527
data/processed/test/dog/10049.jpg,dog,dog,0.0666,0.9334
data/processed/test/dog/10078.jpg,dog,dog,0.0347,0.9653
data/processed/test/dog/10083.jpg,dog,dog,0.1175,0.8825
data/processed/test/dog/10092.jpg,dog,dog,0.2114,0.7886
data/processed/test/dog/10101.jpg,dog,dog,0.0968,0.9032
data/processed/test/dog/10111.jpg,dog,dog,0.0114,0.9886
data/processed/test/dog/10133.jpg,dog,dog,0.0087,0.9913
data/processed/test/dog/10139.jpg,dog,dog,0.1837,0.8163
data/processed/test/dog/10146.jpg,dog,dog,0.1023,0.8977
data/processed/test/dog/10166.jpg,dog,dog,0.0026,0.9974
data/processed/test/dog/10177.jpg,dog,dog,0.0001,0.9999
data/processed/test/dog/10183.jpg,dog,dog,0.3333,0.6667
data/processed/test/dog/10199.jpg,dog,dog,0.0073,0.9927
data/processed/test/dog/10204.jpg,dog,dog,0.0162,0.9838
data/processed/test/dog/10213.jpg,dog,dog,0.0332,0.9668
data/processed/test/dog/10222.jpg,dog,dog,0.411,0.589
data/processed/test/dog/10250.jpg,dog,dog,0.0609,0.9391
data/processed/test/dog/10282.jpg,dog,dog,0.0379,0.9621
data/processed/test/dog/10284.jpg,dog,dog,0.0032,0.9968
data/processed/test/dog/10285.jpg,dog,dog,0.0254,0.9746
data/processed/test/dog/10297.jpg,dog,dog,0.2007,0.7993
data/processed/test/dog/10301.jpg,dog,dog,0.4719,0.5281
data/processed/test/dog/10306.jpg,dog,dog,0.3636,0.6364
data/processed/test/dog/10345.jpg,dog,dog,0.0068,0.9932
data/processed/test/dog/10357.jpg,dog,dog,0.0017,0.9983
data/processed/test/dog/10362.jpg,dog,cat,0.5318,0.4682
data/processed/test/dog/10365.jpg,dog,dog,0.0024,0.9976
data/processed/test/dog/10375.jpg,dog,dog,0.0001,0.9999
data/processed/test/dog/10378.jpg,dog,dog,0.0095,0.9905
data/processed/test/dog/10388.jpg,dog,dog,0.1496,0.8504
data/processed/test/dog/10394.jpg,dog,dog,0.1912,0.8088
data/processed/test/dog/10397.jpg,dog,dog,0.0314,0.9686
data/processed/test/dog/10403.jpg,dog,dog,0.005,0.995
data/processed/test/dog/1042.jpg,dog,dog,0.1417,0.8583
data/processed/test/dog/10421.jpg,dog,dog,0.0004,0.9996
data/processed/test/dog/10423.jpg,dog,dog,0.2298,0.7702
data/processed/test/dog/10424.jpg,dog,dog,0.0458,0.9542
data/processed/test/dog/10436.jpg,dog,dog,0.3987,0.6013
data/processed/test/dog/10454.jpg,dog,dog,0.0068,0.9932
data/processed/test/dog/1046.jpg,dog,dog,0.0053,0.9947
data/processed/test/dog/10465.jpg,dog,dog,0.1653,0.8347
data/processed/test/dog/1047.jpg,dog,dog,0.0512,0.9488
